epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,218.621,2.04051,4.21166,3.11349,0.48491,0.45694,0.40733,0.2993,1.62168,1.89413,2.16244,0.000255939,0.000255939,0.000255939
2,433.981,1.27537,2.03676,1.98136,0.57687,0.63948,0.62401,0.4772,1.27639,1.5569,1.7132,0.000461557,0.000461557,0.000461557
3,639.239,1.0941,1.4777,1.73195,0.69653,0.69069,0.71378,0.55522,1.15698,1.38522,1.54955,0.000616422,0.000616422,0.000616422
4,829.736,0.97824,1.2465,1.58337,0.70126,0.76804,0.78103,0.61537,1.01658,1.14804,1.33532,0.000540607,0.000540607,0.000540607
5,1043.28,0.90863,1.12215,1.50162,0.72956,0.73652,0.75594,0.60208,0.97161,1.18308,1.29722,0.000464476,0.000464476,0.000464476
6,1287.18,0.86023,1.02167,1.44665,0.77484,0.80697,0.83409,0.66442,0.94901,0.99674,1.27025,0.000388345,0.000388345,0.000388345
7,1560.3,0.8265,0.96044,1.40393,0.76695,0.82139,0.83697,0.67381,0.8903,0.93564,1.18591,0.000312214,0.000312214,0.000312214
8,1810.93,0.78952,0.89959,1.36597,0.81929,0.80071,0.85259,0.6927,0.86176,0.92416,1.16536,0.000236083,0.000236083,0.000236083
9,2039.2,0.76324,0.84795,1.33764,0.82541,0.83236,0.87485,0.71353,0.83515,0.86298,1.12457,0.000159952,0.000159952,0.000159952
10,2295.81,0.7451,0.80214,1.32178,0.86668,0.82719,0.88939,0.7294,0.81529,0.83107,1.10314,8.3821e-05,8.3821e-05,8.3821e-05
