epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.384,3.10325,4.58058,4.11504,0.50087,0.15905,0.04156,0.01032,2.76268,3.8352,4.04134,0.00332821,0.00332821,0.00332821
2,409.094,2.05665,3.12892,2.78031,0.43243,0.48981,0.45911,0.31625,1.47792,2.20382,2.26616,0.00659559,0.00659559,0.00659559
3,606.687,1.25426,2.00859,1.81797,0.70592,0.57424,0.62981,0.45009,1.31301,1.6654,1.7983,0.00979697,0.00979697,0.00979697
4,802.247,1.02615,1.56047,1.53553,0.65529,0.66679,0.7017,0.50601,1.15028,1.52074,1.48752,0.009703,0.009703,0.009703
5,998.008,0.90355,1.34341,1.40473,0.68496,0.69759,0.73168,0.55515,1.04496,1.24403,1.38655,0.009604,0.009604,0.009604
6,1227.21,0.842,1.24324,1.34237,0.65213,0.76737,0.76396,0.60248,0.99385,1.19188,1.26385,0.009505,0.009505,0.009505
7,1477.43,0.79842,1.16746,1.29913,0.73023,0.73996,0.79045,0.62158,0.97792,1.13614,1.20863,0.009406,0.009406,0.009406
8,1729.94,0.77649,1.13918,1.28263,0.73853,0.79323,0.81802,0.64415,0.96457,1.01217,1.21974,0.009307,0.009307,0.009307
9,1983.48,0.75457,1.08875,1.2589,0.78163,0.7793,0.83844,0.66129,0.91962,0.97194,1.1564,0.009208,0.009208,0.009208
10,2233.12,0.74205,1.05194,1.2458,0.78838,0.7781,0.83229,0.66383,0.8705,0.90398,1.09314,0.009109,0.009109,0.009109
11,2484,0.72181,1.02407,1.22904,0.74029,0.81566,0.84651,0.67421,0.89455,0.89714,1.10812,0.00901,0.00901,0.00901
12,2734.25,0.71247,1.01036,1.22312,0.78339,0.79956,0.84321,0.65946,0.86846,0.94019,1.07613,0.008911,0.008911,0.008911
13,2986.95,0.69808,0.97813,1.215,0.78527,0.79491,0.83295,0.65183,0.86514,0.90426,1.06628,0.008812,0.008812,0.008812
14,3237.02,0.68985,0.97987,1.20496,0.82061,0.79694,0.85421,0.62331,1.07852,1.19536,1.23147,0.008713,0.008713,0.008713
