epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,15264.7,0.56256,0.71339,1.11686,0.89168,0.85741,0.92525,0.78141,0.68778,0.56274,0.8919,0.003565,0.003565,0.003565
67,15538.8,0.55901,0.70615,1.11496,0.89304,0.86611,0.92808,0.78319,0.68988,0.5575,0.89335,0.003466,0.003466,0.003466
68,15798.4,0.56052,0.70659,1.11546,0.89095,0.86752,0.92935,0.78558,0.68878,0.55305,0.89125,0.003367,0.003367,0.003367
69,16060.8,0.55376,0.68872,1.11209,0.88851,0.86591,0.9291,0.78531,0.68249,0.54967,0.88582,0.003268,0.003268,0.003268
70,16323.5,0.54842,0.69107,1.10894,0.88994,0.85572,0.92785,0.78308,0.68046,0.55445,0.88259,0.003169,0.003169,0.003169
71,16617.1,0.55269,0.70494,1.10901,0.89343,0.85099,0.92668,0.78325,0.68089,0.55524,0.88319,0.00307,0.00307,0.00307
72,16914.8,0.54204,0.68442,1.10743,0.89127,0.85476,0.92679,0.78308,0.68255,0.55569,0.88418,0.002971,0.002971,0.002971
73,17211.2,0.54633,0.68646,1.10925,0.88903,0.86013,0.92842,0.78508,0.68067,0.55195,0.88168,0.002872,0.002872,0.002872
74,17497.8,0.54784,0.68259,1.10763,0.88618,0.86047,0.92866,0.78436,0.67981,0.54939,0.88047,0.002773,0.002773,0.002773
75,17788.6,0.54313,0.67908,1.10555,0.88576,0.86779,0.92786,0.78508,0.67977,0.54795,0.88021,0.002674,0.002674,0.002674
76,18087.5,0.54759,0.68514,1.10876,0.89181,0.86524,0.92902,0.78801,0.67837,0.54837,0.87913,0.002575,0.002575,0.002575
77,18357.5,0.5416,0.67887,1.10599,0.88843,0.87725,0.92914,0.78838,0.67858,0.54895,0.88009,0.002476,0.002476,0.002476
78,18622.6,0.54333,0.67835,1.10792,0.90077,0.86653,0.92983,0.78885,0.6761,0.5456,0.87998,0.002377,0.002377,0.002377
79,18887.8,0.54041,0.67055,1.1068,0.90249,0.86775,0.93025,0.79,0.67584,0.54498,0.88114,0.002278,0.002278,0.002278
80,19101.8,0.53658,0.66556,1.09909,0.90357,0.86384,0.9298,0.78952,0.67494,0.54502,0.87953,0.002179,0.002179,0.002179
81,19356.3,0.53559,0.66815,1.10294,0.90531,0.86845,0.92977,0.78943,0.67348,0.54547,0.87782,0.00208,0.00208,0.00208
82,19626.9,0.5414,0.67285,1.10524,0.90799,0.86726,0.93024,0.78959,0.67293,0.54572,0.8772,0.001981,0.001981,0.001981
83,19875,0.5302,0.65552,1.09834,0.90438,0.86511,0.92962,0.79027,0.67378,0.54548,0.8777,0.001882,0.001882,0.001882
84,20162.1,0.52806,0.65507,1.09469,0.90583,0.86681,0.93099,0.78993,0.67331,0.54618,0.87705,0.001783,0.001783,0.001783
85,20456.4,0.52785,0.6494,1.0958,0.90288,0.86877,0.93116,0.79067,0.67374,0.54729,0.87636,0.001684,0.001684,0.001684
86,20742.1,0.52621,0.64774,1.09676,0.90026,0.87024,0.93189,0.79167,0.67315,0.54717,0.87538,0.001585,0.001585,0.001585
87,21038.6,0.52414,0.64281,1.09562,0.90131,0.8687,0.9321,0.79174,0.67244,0.54553,0.87507,0.001486,0.001486,0.001486
88,21334.1,0.52533,0.64504,1.09099,0.90528,0.86672,0.93256,0.79244,0.67204,0.54393,0.87413,0.001387,0.001387,0.001387
89,21609.4,0.52031,0.63839,1.09041,0.90434,0.86613,0.93307,0.79384,0.67189,0.54299,0.87391,0.001288,0.001288,0.001288
90,21840.6,0.52448,0.63824,1.09136,0.90723,0.86688,0.93377,0.79422,0.67149,0.54218,0.87333,0.001189,0.001189,0.001189
91,22084.6,0.62304,0.56476,1.13342,0.90853,0.8675,0.934,0.79414,0.67073,0.54134,0.87291,0.00109,0.00109,0.00109
92,22338.4,0.61315,0.53186,1.12644,0.90182,0.86829,0.93413,0.79494,0.67052,0.54077,0.87265,0.000991,0.000991,0.000991
93,22621.9,0.61129,0.5222,1.12335,0.8995,0.87077,0.93385,0.79489,0.67017,0.53906,0.87224,0.000892,0.000892,0.000892
94,22899.8,0.60769,0.5169,1.12558,0.89368,0.87539,0.93419,0.79601,0.66994,0.53728,0.87202,0.000793,0.000793,0.000793
95,23173.7,0.60634,0.5091,1.12394,0.90018,0.87172,0.9346,0.79634,0.66954,0.53549,0.87153,0.000694,0.000694,0.000694
96,23449.7,0.60556,0.50853,1.12333,0.90092,0.87149,0.93518,0.79688,0.67016,0.53402,0.87222,0.000595,0.000595,0.000595
97,23754.2,0.59862,0.50397,1.11692,0.89912,0.87299,0.9354,0.79689,0.67049,0.5327,0.87215,0.000496,0.000496,0.000496
98,24052.1,0.59659,0.48959,1.11685,0.89986,0.87233,0.93564,0.79691,0.67102,0.53273,0.8725,0.000397,0.000397,0.000397
99,24301.9,0.59399,0.48799,1.1163,0.89864,0.87327,0.9359,0.79706,0.67075,0.5325,0.87235,0.000298,0.000298,0.000298
100,24576.3,0.59363,0.48551,1.11005,0.89734,0.87437,0.93648,0.79744,0.67082,0.53165,0.87237,0.000199,0.000199,0.000199
