epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.489,3.16281,4.6704,4.16771,0.01815,0.03408,0.00974,0.00245,3.17723,19.1566,4.83297,0.00332821,0.00332821,0.00332821
2,479.354,2.26598,3.42198,3.00537,0.28995,0.41146,0.33173,0.19099,1.71038,2.59997,2.63061,0.00659559,0.00659559,0.00659559
3,714.321,1.32485,2.11551,1.8955,0.59883,0.63823,0.62514,0.44902,1.26675,1.93747,1.7288,0.00979697,0.00979697,0.00979697
4,939.13,1.0533,1.60775,1.55752,0.65287,0.72661,0.70881,0.52073,1.11908,1.48777,1.47217,0.009703,0.009703,0.009703
5,1155.55,0.91242,1.366,1.4173,0.65786,0.65837,0.68998,0.54265,0.98553,1.27088,1.32865,0.009604,0.009604,0.009604
6,1370.43,0.84642,1.25291,1.35347,0.69584,0.71897,0.75738,0.59572,0.88918,1.15585,1.16904,0.009505,0.009505,0.009505
7,1585.19,0.80307,1.18478,1.31581,0.76299,0.72851,0.77722,0.60943,0.94921,1.1204,1.22186,0.009406,0.009406,0.009406
8,1800.11,0.79083,1.15878,1.30621,0.76733,0.76203,0.80478,0.63929,0.89668,1.0114,1.14911,0.009307,0.009307,0.009307
9,2014.77,0.76915,1.10318,1.27935,0.77878,0.76031,0.80934,0.64464,0.92742,1.04853,1.18374,0.009208,0.009208,0.009208
10,2229.42,0.7485,1.06489,1.26111,0.7834,0.74784,0.81143,0.64921,0.86073,0.96539,1.09811,0.009109,0.009109,0.009109
11,2444.53,0.72349,1.035,1.24306,0.75719,0.74962,0.82385,0.65692,0.84536,0.95964,1.07504,0.00901,0.00901,0.00901
12,2665.47,0.71382,1.02604,1.23832,0.77786,0.75833,0.82153,0.65495,0.84898,0.9938,1.07752,0.008911,0.008911,0.008911
13,2881.6,0.69696,0.98664,1.22479,0.76627,0.79757,0.82962,0.66298,0.85911,0.8987,1.10152,0.008812,0.008812,0.008812
14,3096.09,0.69092,0.98379,1.21436,0.78833,0.79641,0.85137,0.68852,0.84355,0.88728,1.07057,0.008713,0.008713,0.008713
15,3311.45,0.6848,0.968,1.21022,0.78465,0.792,0.84894,0.67927,0.84831,0.87939,1.05324,0.008614,0.008614,0.008614
16,3531.56,0.67303,0.94682,1.20432,0.77997,0.75248,0.85242,0.69484,0.79195,0.87093,1.01395,0.008515,0.008515,0.008515
17,3750.72,0.67221,0.94177,1.20416,0.79366,0.80783,0.8549,0.69281,0.80159,0.81557,1.01118,0.008416,0.008416,0.008416
18,3965.49,0.66398,0.9316,1.19764,0.78663,0.81907,0.84897,0.69167,0.81266,0.83413,1.02586,0.008317,0.008317,0.008317
19,4180.5,0.65624,0.91461,1.18911,0.79951,0.81042,0.85282,0.70066,0.77964,0.79369,1.00977,0.008218,0.008218,0.008218
20,4399.55,0.65044,0.90032,1.18507,0.80369,0.8199,0.865,0.69934,0.81476,0.83315,1.02555,0.008119,0.008119,0.008119
21,4617.3,0.64694,0.88777,1.1813,0.7996,0.79887,0.85627,0.70116,0.77392,0.80206,1.00895,0.00802,0.00802,0.00802
22,4832.06,0.64631,0.89255,1.17897,0.79463,0.83369,0.87395,0.68422,0.83213,0.86541,1.02861,0.007921,0.007921,0.007921
23,5046.28,0.64292,0.88803,1.17704,0.79782,0.82965,0.86999,0.7089,0.7907,0.77288,1.00285,0.007822,0.007822,0.007822
24,5263.9,0.63153,0.8638,1.17584,0.79278,0.8375,0.87164,0.71351,0.76824,0.77058,0.97666,0.007723,0.007723,0.007723
25,5484.5,0.63955,0.86531,1.17588,0.81362,0.83274,0.88074,0.7222,0.78148,0.72917,0.99542,0.007624,0.007624,0.007624
26,5700.75,0.63205,0.85728,1.16895,0.86203,0.82579,0.88196,0.72607,0.73958,0.71518,0.95888,0.007525,0.007525,0.007525
27,5916.07,0.63012,0.85797,1.17078,0.83365,0.82332,0.88169,0.71975,0.78503,0.76938,0.99616,0.007426,0.007426,0.007426
28,6130.74,0.62855,0.85346,1.1724,0.83841,0.83732,0.88623,0.72865,0.7472,0.70516,0.96112,0.007327,0.007327,0.007327
29,6346.77,0.62678,0.84277,1.16609,0.85366,0.84106,0.89035,0.73549,0.76169,0.69539,0.97865,0.007228,0.007228,0.007228
30,6562.11,0.61268,0.82291,1.15382,0.85297,0.8313,0.88387,0.73223,0.7489,0.71696,0.96367,0.007129,0.007129,0.007129
31,6776.09,0.6143,0.83126,1.16003,0.86778,0.82155,0.9011,0.74054,0.74319,0.67389,0.95602,0.00703,0.00703,0.00703
32,6990.86,0.61611,0.82252,1.15717,0.82704,0.83978,0.89454,0.72826,0.74441,0.68823,0.95224,0.006931,0.006931,0.006931
33,7205.7,0.61456,0.82481,1.15936,0.86065,0.84195,0.89735,0.74364,0.72701,0.66316,0.93601,0.006832,0.006832,0.006832
34,7421.52,0.61532,0.82025,1.16072,0.87537,0.82402,0.89875,0.74628,0.72861,0.66283,0.9398,0.006733,0.006733,0.006733
35,7635.88,0.60546,0.8027,1.1472,0.85312,0.84677,0.90298,0.7483,0.73445,0.65227,0.94026,0.006634,0.006634,0.006634
36,7851.53,0.60249,0.80743,1.14646,0.84957,0.81996,0.89399,0.73679,0.73792,0.6587,0.93887,0.006535,0.006535,0.006535
37,8066.73,0.59396,0.79842,1.14196,0.84693,0.84303,0.90066,0.74599,0.72325,0.64517,0.92923,0.006436,0.006436,0.006436
38,8281.37,0.60858,0.79837,1.15185,0.85825,0.84527,0.90304,0.74788,0.71582,0.64389,0.93065,0.006337,0.006337,0.006337
39,8495.3,0.60267,0.79685,1.14773,0.84995,0.83672,0.9003,0.74663,0.72615,0.64146,0.93029,0.006238,0.006238,0.006238
40,8709.25,0.5962,0.79519,1.1417,0.86902,0.84136,0.904,0.75046,0.72394,0.64189,0.93318,0.006139,0.006139,0.006139
41,8923.76,0.59637,0.78482,1.13965,0.87206,0.85109,0.90998,0.75445,0.72507,0.63756,0.92593,0.00604,0.00604,0.00604
42,9138.29,0.59313,0.78244,1.14075,0.85383,0.85728,0.91016,0.7584,0.72093,0.63948,0.92346,0.005941,0.005941,0.005941
43,9352.36,0.58986,0.77663,1.14088,0.86486,0.84276,0.90417,0.75507,0.70467,0.62202,0.91786,0.005842,0.005842,0.005842
44,9571.78,0.58823,0.77479,1.13603,0.87296,0.83958,0.9084,0.75711,0.71132,0.63128,0.91578,0.005743,0.005743,0.005743
45,9791.27,0.59237,0.77085,1.14118,0.86649,0.85258,0.9062,0.75421,0.70649,0.62232,0.92095,0.005644,0.005644,0.005644
46,10007.2,0.57998,0.76265,1.13471,0.86884,0.84919,0.91118,0.76515,0.70958,0.61061,0.91835,0.005545,0.005545,0.005545
47,10221.5,0.59355,0.76278,1.13839,0.86097,0.85023,0.91259,0.76339,0.70345,0.61047,0.91648,0.005446,0.005446,0.005446
48,10441.9,0.58674,0.76677,1.13498,0.87397,0.84877,0.9101,0.76232,0.70121,0.60339,0.90763,0.005347,0.005347,0.005347
49,10658.5,0.57926,0.75761,1.12957,0.89111,0.82806,0.91289,0.76804,0.69705,0.5924,0.9082,0.005248,0.005248,0.005248
50,10916.5,0.57477,0.75014,1.13226,0.87681,0.84208,0.9125,0.7691,0.70414,0.59717,0.91509,0.005149,0.005149,0.005149
51,11184.6,0.57707,0.73897,1.13199,0.88231,0.85647,0.91694,0.76766,0.70696,0.60119,0.90821,0.00505,0.00505,0.00505
52,11456,0.57235,0.73957,1.12871,0.86537,0.85386,0.91659,0.77063,0.6975,0.59027,0.90612,0.004951,0.004951,0.004951
53,11731.1,0.5729,0.74044,1.12474,0.87103,0.84257,0.91407,0.76769,0.6957,0.59683,0.8971,0.004852,0.004852,0.004852
54,12007.2,0.57904,0.74948,1.12697,0.88521,0.84663,0.91803,0.77046,0.69194,0.59045,0.89635,0.004753,0.004753,0.004753
55,12283.6,0.56788,0.73345,1.1234,0.86186,0.86662,0.92168,0.77447,0.69361,0.58267,0.89936,0.004654,0.004654,0.004654
56,12548.3,0.57061,0.73859,1.123,0.8864,0.85113,0.92022,0.77544,0.70126,0.59037,0.90971,0.004555,0.004555,0.004555
57,12824.5,0.56918,0.73743,1.12545,0.85601,0.88045,0.9206,0.77481,0.70057,0.58514,0.90562,0.004456,0.004456,0.004456
58,13093,0.56563,0.72299,1.12272,0.88746,0.854,0.92068,0.77374,0.7002,0.58531,0.90242,0.004357,0.004357,0.004357
59,13358.1,0.56917,0.71998,1.12225,0.8832,0.85536,0.92494,0.77748,0.69362,0.57805,0.89657,0.004258,0.004258,0.004258
60,13650.5,0.56019,0.72353,1.11849,0.88675,0.86075,0.92465,0.77783,0.69337,0.57305,0.89676,0.004159,0.004159,0.004159
61,13915.1,0.56625,0.71967,1.12076,0.89174,0.86594,0.92488,0.7802,0.69377,0.56856,0.89892,0.00406,0.00406,0.00406
62,14183.4,0.56494,0.72132,1.12155,0.88863,0.85792,0.92414,0.78211,0.68984,0.56404,0.89613,0.003961,0.003961,0.003961
63,14448.6,0.55819,0.7233,1.11689,0.8913,0.85695,0.92722,0.78426,0.68242,0.55841,0.88871,0.003862,0.003862,0.003862
64,14717.7,0.56784,0.71809,1.12218,0.88778,0.86801,0.92774,0.78388,0.68084,0.55604,0.88633,0.003763,0.003763,0.003763
65,14993,0.55514,0.70714,1.1155,0.89191,0.86188,0.92545,0.7799,0.68529,0.56004,0.88837,0.003664,0.003664,0.003664
