epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.217,3.10325,4.58058,4.11504,0.50087,0.15905,0.04156,0.01032,2.76268,3.8352,4.04134,0.00332821,0.00332821,0.00332821
2,415.424,2.0504,3.12056,2.77101,0.5388,0.54458,0.46281,0.30279,1.42684,2.22929,2.22989,0.00663956,0.00663956,0.00663956
3,609.778,1.25424,1.99607,1.80778,0.66487,0.59402,0.65627,0.47779,1.26143,1.6278,1.65864,0.00992891,0.00992891,0.00992891
4,802.942,1.02873,1.55592,1.52535,0.65704,0.62705,0.6853,0.52211,1.15166,1.49751,1.51926,0.009901,0.009901,0.009901
5,996.553,0.90069,1.33848,1.39987,0.70277,0.68518,0.73846,0.57407,1.05417,1.23081,1.35422,0.009868,0.009868,0.009868
6,1189.55,0.83975,1.24107,1.33821,0.7073,0.73412,0.74718,0.59185,0.91706,1.13852,1.18096,0.009835,0.009835,0.009835
7,1382.82,0.79312,1.17616,1.29252,0.73067,0.72354,0.78933,0.62557,0.93584,1.0975,1.18727,0.009802,0.009802,0.009802
8,1576.31,0.77447,1.13728,1.27755,0.7447,0.76589,0.81194,0.63488,0.97493,1.12466,1.19412,0.009769,0.009769,0.009769
9,1769.53,0.75182,1.08855,1.25262,0.74678,0.75477,0.80421,0.62683,0.96579,1.08032,1.19178,0.009736,0.009736,0.009736
10,1962.48,0.73965,1.05156,1.24123,0.80428,0.76177,0.82564,0.66193,0.87103,0.91545,1.09782,0.009703,0.009703,0.009703
11,2156.97,0.72214,1.03029,1.22972,0.73411,0.79077,0.83862,0.65154,0.88375,0.96541,1.10469,0.00967,0.00967,0.00967
12,2350.53,0.71378,1.01376,1.22412,0.75059,0.79365,0.83334,0.67266,0.88567,0.95475,1.09702,0.009637,0.009637,0.009637
13,2547.09,0.69519,0.97468,1.20962,0.77663,0.81792,0.84607,0.66867,0.85849,0.82812,1.06928,0.009604,0.009604,0.009604
14,2745.44,0.68967,0.97634,1.2026,0.81851,0.79343,0.85363,0.68465,0.90848,0.8955,1.1231,0.009571,0.009571,0.009571
15,2939.91,0.68723,0.96211,1.20047,0.80721,0.80749,0.86305,0.68777,0.85813,0.82176,1.0472,0.009538,0.009538,0.009538
16,3133.57,0.6752,0.94026,1.19521,0.78529,0.82168,0.86559,0.69885,0.83991,0.82817,1.04513,0.009505,0.009505,0.009505
17,3326.86,0.67506,0.9318,1.19207,0.74591,0.80726,0.83554,0.67598,0.79901,0.83222,1.00368,0.009472,0.009472,0.009472
18,3519.5,0.6644,0.9261,1.18584,0.82189,0.81683,0.87283,0.70328,0.85647,0.81392,1.04161,0.009439,0.009439,0.009439
19,3719.99,0.65931,0.90881,1.18185,0.81731,0.81402,0.85981,0.69833,0.80435,0.79153,1.00318,0.009406,0.009406,0.009406
20,3921.19,0.65275,0.90004,1.17599,0.82422,0.81338,0.86699,0.70746,0.81336,0.77817,1.00153,0.009373,0.009373,0.009373
21,4117.28,0.65203,0.8868,1.17734,0.79744,0.8393,0.86484,0.69556,0.84331,0.81638,1.03422,0.00934,0.00934,0.00934
22,4312.26,0.65486,0.89639,1.17658,0.82869,0.83303,0.8717,0.71005,0.82546,0.76742,1.02105,0.009307,0.009307,0.009307
23,4506.25,0.64908,0.88732,1.17242,0.81834,0.8187,0.87297,0.71273,0.83181,0.84607,1.02221,0.009274,0.009274,0.009274
24,4700.13,0.63621,0.86265,1.16735,0.82747,0.83434,0.88019,0.72046,0.77875,0.75736,0.98777,0.009241,0.009241,0.009241
25,4894.17,0.64705,0.87573,1.17311,0.85182,0.83622,0.88621,0.72616,0.7957,0.72589,0.99547,0.009208,0.009208,0.009208
26,5090.28,0.64056,0.86496,1.16651,0.82151,0.85149,0.88218,0.72196,0.76945,0.72563,0.97194,0.009175,0.009175,0.009175
27,5284.08,0.63917,0.86892,1.16869,0.84888,0.8329,0.8842,0.72644,0.76163,0.71275,0.96507,0.009142,0.009142,0.009142
28,5478.92,0.63289,0.85774,1.16504,0.823,0.85154,0.88507,0.73072,0.75524,0.69291,0.96462,0.009109,0.009109,0.009109
29,5674.3,0.63282,0.84805,1.15921,0.84779,0.82922,0.8889,0.7267,0.78611,0.74087,0.99015,0.009076,0.009076,0.009076
30,5867.5,0.62254,0.83467,1.15121,0.85692,0.83082,0.88469,0.73003,0.74348,0.67263,0.95022,0.009043,0.009043,0.009043
31,6061.28,0.62333,0.83907,1.1535,0.86178,0.83617,0.9002,0.73261,0.77502,0.69508,0.9667,0.00901,0.00901,0.00901
32,6255.85,0.62384,0.83389,1.1522,0.85627,0.84355,0.90167,0.74201,0.75604,0.69479,0.95293,0.008977,0.008977,0.008977
33,6449.73,0.62675,0.83634,1.16005,0.87573,0.83902,0.90398,0.74906,0.73436,0.66653,0.94413,0.008944,0.008944,0.008944
34,6644.31,0.62279,0.82855,1.15836,0.86413,0.85171,0.90776,0.75241,0.74653,0.66621,0.95077,0.008911,0.008911,0.008911
35,6837.43,0.61382,0.81614,1.14559,0.85194,0.85566,0.90655,0.74742,0.74593,0.66571,0.94796,0.008878,0.008878,0.008878
36,7037.16,0.61231,0.81695,1.14561,0.83472,0.86484,0.90395,0.74383,0.74802,0.66188,0.95321,0.008845,0.008845,0.008845
37,7233.08,0.60666,0.80907,1.14433,0.86753,0.84031,0.90629,0.74918,0.74658,0.65369,0.94282,0.008812,0.008812,0.008812
38,7432.11,0.61814,0.81529,1.14714,0.84811,0.85857,0.90305,0.74753,0.7303,0.64921,0.92983,0.008779,0.008779,0.008779
39,7626.53,0.61115,0.80766,1.14425,0.85463,0.85541,0.90451,0.74684,0.75561,0.65681,0.94318,0.008746,0.008746,0.008746
40,7820.07,0.60979,0.81185,1.14349,0.86521,0.8497,0.90548,0.75289,0.73186,0.64339,0.93338,0.008713,0.008713,0.008713
41,8014.75,0.60837,0.80482,1.13887,0.87224,0.85708,0.90264,0.75428,0.7315,0.65373,0.92138,0.00868,0.00868,0.00868
42,8210.27,0.60461,0.80149,1.14014,0.85655,0.85499,0.91192,0.75608,0.73468,0.63374,0.92971,0.008647,0.008647,0.008647
43,8404.94,0.59857,0.79496,1.13939,0.83829,0.86519,0.90672,0.75566,0.71227,0.62478,0.91957,0.008614,0.008614,0.008614
44,8598.2,0.60073,0.78835,1.13556,0.87829,0.84546,0.90341,0.75588,0.73084,0.64637,0.92517,0.008581,0.008581,0.008581
45,8791.77,0.60419,0.79101,1.13868,0.86938,0.85896,0.90795,0.75571,0.72409,0.62907,0.92576,0.008548,0.008548,0.008548
46,8985.23,0.59514,0.78471,1.12998,0.85426,0.85482,0.9105,0.75847,0.73016,0.63037,0.92414,0.008515,0.008515,0.008515
47,9178.99,0.60712,0.78385,1.1327,0.86234,0.85835,0.91179,0.76265,0.73301,0.62677,0.92812,0.008482,0.008482,0.008482
48,9374.64,0.59882,0.78577,1.13384,0.8998,0.84645,0.91169,0.7587,0.71962,0.62261,0.91837,0.008449,0.008449,0.008449
49,9568.29,0.5965,0.77534,1.12968,0.88895,0.84069,0.91504,0.76161,0.73276,0.61635,0.92513,0.008416,0.008416,0.008416
50,9762.82,0.59004,0.77458,1.13229,0.88614,0.85324,0.91908,0.77381,0.71776,0.59948,0.91624,0.008383,0.008383,0.008383
51,9959.45,0.59331,0.76361,1.13475,0.88073,0.86437,0.91951,0.76677,0.70474,0.58431,0.90026,0.00835,0.00835,0.00835
52,10155,0.59034,0.76057,1.12847,0.87923,0.86199,0.91889,0.76991,0.71495,0.60514,0.91537,0.008317,0.008317,0.008317
53,10349.2,0.59184,0.7644,1.12795,0.87991,0.85048,0.91402,0.76824,0.71257,0.6132,0.91362,0.008284,0.008284,0.008284
54,10543.2,0.59632,0.7739,1.1254,0.88089,0.87014,0.91903,0.76885,0.69381,0.57453,0.88927,0.008251,0.008251,0.008251
55,10736.5,0.58653,0.76344,1.12288,0.86479,0.87635,0.92447,0.7709,0.71038,0.58651,0.91064,0.008218,0.008218,0.008218
56,10931.4,0.59055,0.76889,1.12427,0.89123,0.86406,0.92456,0.77414,0.69532,0.57838,0.89229,0.008185,0.008185,0.008185
57,11131.7,0.58756,0.76829,1.1265,0.90504,0.85714,0.92351,0.7758,0.69554,0.57681,0.89316,0.008152,0.008152,0.008152
58,11324.8,0.58619,0.75549,1.12516,0.88198,0.8699,0.91979,0.77085,0.70633,0.58024,0.90779,0.008119,0.008119,0.008119
59,11517.7,0.58968,0.75855,1.12778,0.89423,0.87133,0.92206,0.77214,0.70685,0.58234,0.90991,0.008086,0.008086,0.008086
60,11711.6,0.57988,0.76006,1.12148,0.87866,0.8833,0.92089,0.77609,0.70842,0.58302,0.91154,0.008053,0.008053,0.008053
61,11905.4,0.58708,0.75349,1.12525,0.89479,0.87409,0.92256,0.77661,0.71245,0.58432,0.91738,0.00802,0.00802,0.00802
62,12099.2,0.58527,0.75096,1.12304,0.89371,0.86368,0.92068,0.7748,0.70771,0.58207,0.91049,0.007987,0.007987,0.007987
63,12292.4,0.58116,0.75849,1.12059,0.89679,0.86484,0.92272,0.77471,0.69319,0.57282,0.89392,0.007954,0.007954,0.007954
64,12487.4,0.58882,0.75517,1.12219,0.90043,0.84878,0.92376,0.77308,0.70224,0.57761,0.90221,0.007921,0.007921,0.007921
65,12682,0.57669,0.7455,1.11813,0.88768,0.85514,0.9224,0.77012,0.70628,0.57953,0.90582,0.007888,0.007888,0.007888
66,12877.5,0.58607,0.75429,1.11738,0.88582,0.8621,0.92173,0.76874,0.70504,0.57858,0.90335,0.007855,0.007855,0.007855
67,13071.1,0.58219,0.74703,1.11897,0.88248,0.86778,0.9234,0.77229,0.70087,0.57397,0.89957,0.007822,0.007822,0.007822
68,13265.2,0.58401,0.74412,1.11818,0.88737,0.86311,0.92284,0.77651,0.69686,0.57396,0.89682,0.007789,0.007789,0.007789
69,13464.3,0.58165,0.73054,1.11686,0.88427,0.87314,0.92439,0.77656,0.70121,0.57449,0.9006,0.007756,0.007756,0.007756
70,13658.9,0.57022,0.73725,1.11201,0.89242,0.86913,0.92461,0.7776,0.70036,0.5711,0.89956,0.007723,0.007723,0.007723
71,13852.9,0.58235,0.74925,1.11609,0.89004,0.86824,0.9239,0.77919,0.70017,0.56892,0.8991,0.00769,0.00769,0.00769
72,14047.3,0.57338,0.72939,1.11425,0.88485,0.87281,0.92438,0.77551,0.69996,0.56986,0.89949,0.007657,0.007657,0.007657
73,14241.3,0.5741,0.73376,1.11509,0.88693,0.87212,0.92329,0.77813,0.69558,0.57003,0.89307,0.007624,0.007624,0.007624
74,14434.8,0.57968,0.73277,1.11636,0.88314,0.87397,0.92418,0.78235,0.69156,0.56889,0.88905,0.007591,0.007591,0.007591
75,14630.7,0.57167,0.73066,1.11323,0.88103,0.87508,0.9237,0.7813,0.69414,0.56887,0.89173,0.007558,0.007558,0.007558
76,14825.7,0.57907,0.74114,1.11603,0.87955,0.87676,0.92539,0.78182,0.69301,0.562,0.88983,0.007525,0.007525,0.007525
77,15019.4,0.57221,0.73441,1.1137,0.88756,0.87049,0.9263,0.78221,0.69216,0.55601,0.88878,0.007492,0.007492,0.007492
78,15213.2,0.57651,0.73268,1.11275,0.8834,0.86773,0.92517,0.78242,0.68987,0.55432,0.88727,0.007459,0.007459,0.007459
79,15406.3,0.57719,0.72531,1.11522,0.87887,0.87418,0.92418,0.78053,0.6908,0.55407,0.88862,0.007426,0.007426,0.007426
80,15600.1,0.57083,0.72017,1.10758,0.87152,0.8847,0.92454,0.78225,0.68873,0.55327,0.88779,0.007393,0.007393,0.007393
81,15793.3,inf,0.72453,1.11297,0.88172,0.87556,0.92453,0.78332,0.68788,0.55087,0.88754,0.00736,0.00736,0.00736
82,15987.1,0.57776,0.73391,1.11549,0.88537,0.87643,0.92457,0.78405,0.6846,0.54939,0.88542,0.007327,0.007327,0.007327
83,16181,0.56578,0.71537,1.10911,0.88333,0.87838,0.92392,0.78402,0.68191,0.54582,0.8826,0.007294,0.007294,0.007294
