epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12987.8,0.56172,0.69684,1.07599,0.91989,0.86535,0.94345,0.79603,0.70673,0.5298,0.88156,0.00653077,0.00653077,0.00653077
43,13296.3,0.56833,0.69792,1.08348,0.89585,0.89274,0.946,0.80248,0.70255,0.51872,0.8758,0.00644615,0.00644615,0.00644615
44,13600.7,0.55547,0.6803,1.07643,0.90315,0.8948,0.94437,0.79932,0.69506,0.51823,0.86246,0.00636154,0.00636154,0.00636154
45,13906,0.56134,0.70003,1.08418,0.90268,0.89018,0.94284,0.79945,0.68514,0.5123,0.85745,0.00627692,0.00627692,0.00627692
46,14206.2,0.55643,0.68462,1.07679,0.89763,0.90196,0.94698,0.80547,0.68778,0.51197,0.86761,0.00619231,0.00619231,0.00619231
47,14505.2,0.54931,0.67344,1.06915,0.91059,0.88843,0.94642,0.80659,0.68487,0.50433,0.86697,0.00610769,0.00610769,0.00610769
48,14801.1,0.55772,0.68552,1.07577,0.92545,0.87918,0.94247,0.80313,0.67947,0.5171,0.85716,0.00602308,0.00602308,0.00602308
49,15095.4,0.55812,0.68029,1.07823,0.89762,0.90499,0.94917,0.80886,0.70425,0.53362,0.89372,0.00593846,0.00593846,0.00593846
50,15393.4,0.55313,0.68134,1.07465,0.89271,0.90521,0.93909,0.80152,0.68177,0.51843,0.85897,0.00585385,0.00585385,0.00585385
51,15688.8,0.54916,0.67559,1.07602,0.89523,0.89884,0.94483,0.80637,0.70986,0.52099,0.89325,0.00576923,0.00576923,0.00576923
52,15985.3,0.5537,0.67084,1.07458,0.87057,0.90764,0.94454,0.80969,0.68459,0.51524,0.8742,0.00568462,0.00568462,0.00568462
53,16281.1,0.53827,0.65719,1.06717,0.90047,0.88947,0.94404,0.80597,0.68904,0.50456,0.87308,0.0056,0.0056,0.0056
54,16580,0.54302,0.65959,1.06724,0.90382,0.89833,0.94766,0.80844,0.68501,0.52381,0.86567,0.00551538,0.00551538,0.00551538
55,16875,0.55098,0.65886,1.07053,0.91345,0.89427,0.94728,0.80712,0.67269,0.49555,0.85568,0.00543077,0.00543077,0.00543077
56,17167.5,0.54659,0.66763,1.06912,0.89643,0.89888,0.94607,0.80786,0.67418,0.50046,0.86195,0.00534615,0.00534615,0.00534615
57,17463.9,0.54018,0.65021,1.06513,0.9063,0.90418,0.94795,0.81029,0.67429,0.48812,0.86132,0.00526154,0.00526154,0.00526154
